faq_id,product_id,product_code,sku,question,answer,faq_category,sort_order,source_document,source_page_or_section,confidence
1880,81,DJP1080,DJ-HEA-0081,What is Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml)?,"Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml) is a product under the HEALTH CARE category, offered by the brand Curind.",general_info,1,Various Documents,N/A,medium
1881,81,DJP1080,DJ-HEA-0081,What is the price and business volume (BV) for Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml)?,"The MRP is ₹4999.0, Distributor Price (DP) is ₹2849.0, and the Business Volume (BV) is 1320.0.",pricing,2,Various Documents,N/A,high
1882,81,DJP1080,DJ-HEA-0081,Who should use this product?,"According to the recommendation chart, it may be useful for individuals dealing with: Physical Retardation, Reduced Cognitive abilities, Weakness OR Tiredness, Increased Thirst, Frequent Urination.",usage,3,Various Documents,N/A,medium
1883,81,DJP1080,DJ-HEA-0081,Does this cure medical conditions?,"This product does not replace medical treatment. Consult a qualified physician before use, especially if you are on medication or have a diagnosed condition.",safety,4,Various Documents,N/A,medium
1884,81,DJP1080,DJ-HEA-0081,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,N/A,low
1885,81,DJP1080,DJ-HEA-0081,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,N/A,low
1886,81,DJP1080,DJ-HEA-0081,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,N/A,low
1887,81,DJP1080,DJ-HEA-0081,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,N/A,low
1888,81,DJP1080,DJ-HEA-0081,How does it compare to other HEALTH CARE products?,This product is uniquely formulated under the Curind brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,N/A,medium
1889,81,DJP1080,DJ-HEA-0081,What is the pack size?,This specific item comes in a Pack of 2 Bottles - each 25ml pack size.,dosage,10,Various Documents,N/A,medium
1890,81,DJP1080,DJ-HEA-0081,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,N/A,medium
