faq_id,product_id,product_code,sku,question,answer,faq_category,sort_order,source_document,source_page_or_section,confidence
1869,80,DJP1079,DJ-HEA-0080,What is Di-beat (60 Tab)?,"Di-beat (60 Tab) is a product under the HEALTH CARE category, offered by the brand Curind.",general_info,1,Various Documents,N/A,medium
1870,80,DJP1079,DJ-HEA-0080,What is the price and business volume (BV) for Di-beat (60 Tab)?,"The MRP is ₹1199.0, Distributor Price (DP) is ₹825.0, and the Business Volume (BV) is 375.0.",pricing,2,Various Documents,N/A,high
1871,80,DJP1079,DJ-HEA-0080,Who should use this product?,Individuals looking for Ayurvedic and health support supplements as directed by Dayjoy's guidelines.,usage,3,Various Documents,N/A,medium
1872,80,DJP1079,DJ-HEA-0080,Is this a medicine?,"This product does not replace medical treatment. Consult a qualified physician before use, especially if you are on medication or have a diagnosed condition.",safety,4,Various Documents,N/A,medium
1873,80,DJP1079,DJ-HEA-0080,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,N/A,low
1874,80,DJP1079,DJ-HEA-0080,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,N/A,low
1875,80,DJP1079,DJ-HEA-0080,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,N/A,low
1876,80,DJP1079,DJ-HEA-0080,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,N/A,low
1877,80,DJP1079,DJ-HEA-0080,How does it compare to other HEALTH CARE products?,This product is uniquely formulated under the Curind brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,N/A,medium
1878,80,DJP1079,DJ-HEA-0080,What is the pack size?,This specific item comes in a 60 Tab pack size.,dosage,10,Various Documents,N/A,medium
1879,80,DJP1079,DJ-HEA-0080,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,N/A,medium
