faq_id,product_id,product_code,sku,question,answer,faq_category,sort_order,source_document,source_page_or_section,confidence
1913,84,DJP1083,DJ-HEA-0084,What is GoPiles (60 Tab)?,"GoPiles (60 Tab) is a product under the HEALTH CARE category, offered by the brand Curind.",general_info,1,Various Documents,N/A,medium
1914,84,DJP1083,DJ-HEA-0084,What is the price and business volume (BV) for GoPiles (60 Tab)?,"The MRP is ₹1199.0, Distributor Price (DP) is ₹825.0, and the Business Volume (BV) is 375.0.",pricing,2,Various Documents,N/A,high
1915,84,DJP1083,DJ-HEA-0084,Who should use this product?,"According to the recommendation chart, it may be useful for individuals dealing with: Bright Red Blood in Stools an Itchy Anus, Feeling Like You Still Need To Poo After going to the Toilet, Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, Pain Around Your Anus.",usage,3,Various Documents,N/A,medium
1916,84,DJP1083,DJ-HEA-0084,Does this cure medical conditions?,"This product does not replace medical treatment. Consult a qualified physician before use, especially if you are on medication or have a diagnosed condition.",safety,4,Various Documents,N/A,medium
1917,84,DJP1083,DJ-HEA-0084,How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,N/A,low
1918,84,DJP1083,DJ-HEA-0084,What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,N/A,low
1919,84,DJP1083,DJ-HEA-0084,What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,N/A,low
1920,84,DJP1083,DJ-HEA-0084,Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,N/A,low
1921,84,DJP1083,DJ-HEA-0084,How does it compare to other HEALTH CARE products?,This product is uniquely formulated under the Curind brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,N/A,medium
1922,84,DJP1083,DJ-HEA-0084,What is the pack size?,This specific item comes in a 60 Tab pack size.,dosage,10,Various Documents,N/A,medium
1923,84,DJP1083,DJ-HEA-0084,Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,N/A,medium
